퀘스트 데이터,,,,,,,
퀘스트 데이터 ID,Npc ID,$퀘스트 순서(숫자가 작을수록 선행됨)$,퀘스트 이름,"$퀘스트 타입(0: 메인, 1: 서브)$",보상 재화 ID,보상 재화 지급 수량,퀘스트 설명
Id,NpcId,QuestOrder,QuestName,QuestType,RewardId,RewardAmount,Description
string,string,int,string,int,string,int,string
quest_Tuto01,npc000,1,$튜토리얼 1$,0,Coin,0,$튜토리얼 퀘스트 1$
quest_Tuto02,npc000,2,$튜토리얼 2$,0,Coin,100,$튜토리얼 퀘스트 2$
quest_Tuto03,npc000,3,$튜토리얼 3$,0,Coin,200,$튜토리얼 퀘스트 3$
,,,,,,,
quest0001,npc001,1,$스테이지 1-1$,0,Coin,700,$스테이지1 퀘스트1$
quest0002,npc001,2,$스테이지 1-2$,0,Coin,1000,$스테이지1 퀘스트2$
quest0003,npc001,3,$스테이지 1-3$,0,Coin,1300,$스테이지1 퀘스트3$
quest0004,npc001,4,$스테이지 1-4$,0,Coin,1600,$스테이지1 퀘스트4$
quest0005,npc001,5,$스테이지 1-5$,1,Coin,1700,$스테이지1 퀘스트5$
quest0006,npc001,6,$스테이지 1-6$,1,Coin,2000,$스테이지1 퀘스트6$
quest0007,npc001,7,$스테이지 1-7$,1,Coin,2300,$스테이지1 퀘스트7$
quest0008,npc001,8,$스테이지 1-8$,1,Coin,2500,$스테이지1 퀘스트8$
quest0009,npc001,9,$스테이지 1-9$,1,Coin,3800,$스테이지1 퀘스트9$
,,,,,,,
quest1001,npc002,1,$스테이지 2-1$,0,Coin,1300,$스테이지2 퀘스트1$
quest1002,npc002,2,$스테이지 2-2$,0,Coin,1500,$스테이지2 퀘스트2$
quest1003,npc002,3,$스테이지 2-3$,0,Coin,1700,$스테이지2 퀘스트3$
quest1004,npc002,4,$스테이지 2-4$,0,Coin,1800,$스테이지2 퀘스트4$
quest1005,npc002,5,$스테이지 2-5$,0,Coin,2200,$스테이지2 퀘스트5$
quest1006,npc002,6,$스테이지 2-6$,0,Coin,2400,$스테이지2 퀘스트6$
quest1007,npc002,7,$스테이지 2-7$,0,Coin,2700,$스테이지2 퀘스트7$
quest1008,npc002,8,$스테이지 2-8$,0,Coin,3800,$스테이지2 퀘스트8$
quest1009,npc002,9,$스테이지 2-9$,1,Coin,3800,$스테이지2 퀘스트9$
quest1010,npc002,10,$스테이지 2-10$,1,Coin,4100,$스테이지2 퀘스트10$
quest1011,npc002,11,$스테이지 2-11$,1,Coin,4500,$스테이지2 퀘스트11$
quest1012,npc002,12,$스테이지 2-12$,1,Coin,5000,$스테이지2 퀘스트12$
quest1013,npc002,13,$스테이지 2-13$,1,Coin,6800,$스테이지2 퀘스트13$
,,,,,,,
quest2001,npc003,1,$스테이지 3-1$,0,Coin,2000,$스테이지3 퀘스트1$
quest2002,npc003,2,$스테이지 3-2$,0,Coin,2500,$스테이지3 퀘스트2$
quest2003,npc003,3,$스테이지 3-3$,0,Coin,2700,$스테이지3 퀘스트3$
quest2004,npc003,4,$스테이지 3-4$,0,Coin,3300,$스테이지3 퀘스트4$
quest2005,npc003,5,$스테이지 3-5$,0,Coin,3800,$스테이지3 퀘스트5$
quest2006,npc003,6,$스테이지 3-6$,0,Coin,4200,$스테이지3 퀘스트6$
quest2007,npc003,7,$스테이지 3-7$,0,Coin,4500,$스테이지3 퀘스트7$
quest2008,npc003,8,$스테이지 3-8$,0,Coin,6000,$스테이지3 퀘스트8$
quest2009,npc003,9,$스테이지 3-9$,1,Coin,5500,$스테이지3 퀘스트9$
quest2010,npc003,10,$스테이지 3-10$,1,Coin,6000,$스테이지3 퀘스트10$
quest2011,npc003,11,$스테이지 3-11$,1,Coin,6400,$스테이지3 퀘스트11$
quest2012,npc003,12,$스테이지 3-12$,1,Coin,7000,$스테이지3 퀘스트12$
quest2013,npc003,13,$스테이지 3-13$,1,Coin,8000,$스테이지3 퀘스트13$
quest2014,npc003,14,$스테이지 3-14$,1,Coin,10000,$스테이지3 퀘스트14$
