Key,Korean,English
# UI Basic Text,,
ui_confirm,확인,Confirm
ui_cancel,취소,Cancel
ui_close,닫기,Close
ui_apply,적용,Apply
ui_back,뒤로,Back
ui_next,다음,Next
ui_previous,이전,Previous
# Menu Related,,
menu_title,메뉴,Menu
menu_resume,게임 계속,Resume Game
menu_settings,설정,Settings
menu_exit,게임 종료,Exit Game
menu_inventory,인벤토리,Inventory
menu_start,게임 시작,Start Game
menu_close,닫기,Close
# Game Related,,
game_over,게임 오버,Game Over
game_victory,승리!,Victory!
game_pause,일시정지,Pause
game_resume,계속,Resume
game_restart,다시 시작,Restart
# Loading Related,,
loading_text,로딩 중...,Loading...
loading_please_wait,잠시만 기다려주세요,Please wait
loading_progress,로딩 중...,Loading...
loading_wait,잠시만 기다려주세요...,Please wait a moment...
loading_data,데이터를 불러오는 중...,Loading data...
loading_almost_done,거의 완료되었습니다...,Almost done...
loading_prepare,준비 중...,Preparing...
loading_complete,완료 중...,Completing...
loading_success,로딩이 완료되었습니다!,Loading completed!
loading_error,로딩 중 오류가 발생했습니다.,An error occurred during loading.
loading_timeout,로딩 시간이 초과되었습니다.,Loading timeout.
loading_retry,다시 시도하시겠습니까?,Would you like to retry?
# Stage Loading Related,,
stage_prepare,스테이지를 준비하는 중...,Preparing stage...
stage_loading,스테이지를 로딩하는 중...,Loading stage...
stage_complete,스테이지 로딩 완료!,Stage loading completed!
# Fast Loading Related,,
loading_fast_prepare,빠른 로딩 준비 중...,Preparing fast loading...
loading_fast_progress,빠른 로딩 중...,Fast loading...
loading_fast_complete,빠른 로딩 완료!,Fast loading completed!
loading_fast_success,빠른 로딩이 완료되었습니다!,Fast loading completed!
# Scene Transition Related,,
scene_transition_prepare,씬 전환 준비 중...,Preparing scene transition...
scene_transition_loading,씬을 전환하는 중...,Transitioning scene...
scene_transition_complete,씬 전환 완료!,Scene transition completed!
# Language Settings,,
language_settings_title,언어 설정,Language Settings
language_settings_apply,적용,Apply
language_settings_close,닫기,Close
# Settings Popup,,
settings_language,언어 설정,Language Settings
settings_sound,사운드 설정,Sound Settings
settings_graphics,그래픽 설정,Graphics Settings
settings_close,닫기,Close
# Title Text,,
titleText,유니모,UniMo
# Language Settings Panel,,
label,,
preview,미리보기,Preview
translationcompleteness,번역 완성도,Translation Completeness
currentlanguage,현재 언어,Current Language
reset,초기화,Reset
close,닫기,Close
apply,적용,Apply
test,테스트,Test
cancel,취소,Cancel
confirm,확인,Confirm
titletext,유니모,UniMo
# Additional UI Elements,,
exit,종료,Exit
settings,설정,Settings
start,시작,Start
item,아이템,Item
title,유니모,UniMo
closebutton,닫기,Close
exitbutton,종료,Exit
settingsbutton,설정,Settings
startbutton,시작,Start
actionbutton,실행,Action
description,설명,DescriptionInfo
questprogress,퀘스트 진행도,Quest progress
level,레벨,Level
money,돈,Money
runmoenybutton,,
rungembutton,,
rungoalbutton,,
runtitle,,
rundescription,,
centermessage,중앙 메시지,Center Message
progress,진행률,Progress
buyupgradebutton,업그레이드 구매,Buy Upgrade
buildingname,건물 이름,Building Name
materials,재료,Materials
buildingcount,건물 수,Building Count
harvestbuildingtop,수확 건물,Harvest Building
runharvestbuildingname,,
runharvestbuildingdesc,,
runproductionmaterial,,
upgrade1,업그레이드,Upgrade
runupgrademoneynum1,,
runbeforeupgradenum1,,
runafterupgradenum1,,
changeddesc1,생산 속도,Production Speed
hrroom,HR 룸,HR Room
manufacturebuildingtop,제조 건물,Manufacture Building
runmanufacturebuildingname,,
runmanufacturebuildingdesc,,
runinputmaterials,,
upgrade2,업그레이드,Upgrade
runbeforeupgradenum2,,
runafterupgradenum2,,
maxnumber,최대 개수,Max Count
runupgradename,,
runbeforeupgradenum,,
runafterupgradenum,,
upgrade,업그레이드,Upgrade
runmoneynum,,
playerupgrade,플레이어 업그레이드,Player Upgrade
property,부동산,Property
moenybutton,돈,Money
buybutton,구매,Buy
runrcharactername,,
runchoicebutton1,,
runchoicebutton2,,
runchoicebutton3,,
runchoicebutton4,,
choicequestion,선택 질문,Choice Question
runlcaractername,,
runchatwindow,,
logbutton,로그,Log
skipbutton,건너뛰기,Skip
upgradebutton,업그레이드,Upgrade
workername,작업자 이름,Worker Name
